,organism,PC1_cd45minus,PC2_cd45minus
23728_8#370,human,-1.11746695441839,-7.34373766366339
24087_4#255,human,4.38881435574047,4.48223194576087
24088_4#339,human,2.86529689794913,3.01869004154165
24088_4#220,human,1.33796298658091,16.837664204487
24087_3#259,human,7.22635091992351,6.35553775506538
24087_2#226,human,-11.1752963035861,34.5253239670941
24087_2#331,human,11.4555302307035,1.63535555791666
24088_8#345,human,2.76800578200497,-42.661730332548
23728_8#202,human,2.82232796229299,-8.64825957821632
24088_4#242,human,0.575234408715316,6.87120950628195
23728_3#298,human,-9.35341264560246,5.17158711487001
24088_4#301,human,-0.070722500070919,-34.2395625177965
24088_7#352,human,-2.14920183545793,-34.3656975704884
24088_4#310,human,-5.59548794534465,31.2467830914203
24087_7#346,human,-0.011056015495642,-32.9962677628122
24087_6#350,human,-3.99357976515684,-26.4961769353752
24088_4#205,human,7.55761680844389,-6.09412713875219
24088_4#329,human,-11.9939274628605,30.2725197604513
24087_4#203,human,-2.93544055003037,-11.4199854705248
23728_3#250,human,0.547948382123599,-10.5274074860738
24087_2#374,human,6.58949454379057,22.7429877974444
24088_4#197,human,3.91096611809048,14.7697359160216
24087_2#235,human,-22.7992612184469,-7.84947420481887
24087_8#354,human,1.45004568849379,-38.2198165962579
24088_4#374,human,4.3020372782422,21.5173403166654
24087_3#297,human,11.9845065871528,4.19167263998497
23728_3#227,human,-10.4601004343269,5.36183667222379
24088_7#321,human,-1.08596714965802,-0.883259301496243
23728_3#249,human,-9.62853906566082,5.82820303110637
24087_1#259,human,16.2034997615614,6.48835819426946
24087_2#231,human,7.87974688008711,27.3355361997661
24088_4#335,human,4.01553389374378,19.1345179884077
24087_3#375,human,2.11747199397831,-2.29723222406508
24087_6#348,human,3.72401683072381,-31.85038652048
24087_4#321,human,15.9257804552324,2.84904530615424
24088_4#262,human,1.99890285561886,7.41181556940017
24087_7#353,human,4.3264123956632,-32.6386650033844
24087_1#205,human,5.53619719584428,25.3566653364805
24087_4#297,human,15.6733602169114,7.1802789414339
24087_2#205,human,7.72774039621487,22.0417137250596
24087_4#207,human,4.77098219074111,6.69165589784684
24087_6#378,human,1.57636636089776,-33.7526696507072
24087_2#322,human,14.5196241709534,7.87400943533293
24087_3#301,human,11.1519240130658,6.71835799765866
24087_2#278,human,-2.98069798757178,-10.5228165502938
24088_7#355,human,0.728271428163427,-42.3938583616889
24087_3#251,human,13.1719768126305,3.76196437269445
23728_3#205,human,-9.45170797080329,4.6373001454145
24088_4#204,human,-12.1945997007322,28.6304862954847
24087_3#211,human,-13.0721350046507,34.6052369829371
