sample,cluster_cd45minus,organism
24087_4#254,4,human
24087_2#326,4,human
23728_3#234,2,human
24088_7#346,1,human
24087_2#329,5,human
24088_8#369,1,human
24087_1#232,6,human
24087_6#369,1,human
24087_8#376,1,human
24087_2#279,0,human
24087_3#208,0,human
23728_5#280,3,human
24088_4#338,0,human
24088_8#355,1,human
23728_3#376,2,human
24088_8#208,2,human
24087_4#231,5,human
24087_2#275,0,human
24087_3#205,4,human
24087_6#347,1,human
24088_4#293,5,human
24087_2#327,0,human
24087_3#348,6,human
24088_4#326,4,human
24087_4#329,2,human
24088_4#193,4,human
24088_4#207,3,human
24087_3#207,7,human
24088_4#297,5,human
24088_4#229,4,human
23728_3#208,5,human
24087_2#328,0,human
23728_3#307,5,human
23728_5#278,3,human
24087_1#348,6,human
24088_8#376,1,human
24087_2#305,4,human
24087_8#249,5,human
24087_2#323,4,human
24087_1#332,0,human
24087_3#260,4,human
24087_4#304,0,human
24088_4#203,1,human
24087_1#380,0,human
24088_4#263,1,human
24087_1#256,0,human
24088_4#271,2,human
24087_2#301,0,human
24087_4#206,0,human
23728_5#251,3,human
24088_4#376,3,human
24088_7#377,1,human
24087_5#352,1,human
24087_3#354,6,human
24087_3#324,0,human
24087_4#251,9,human
24088_4#275,3,human
24088_4#322,2,human
24088_8#353,1,human
24087_4#348,0,human
24088_8#348,1,human
23728_7#251,4,human
24087_3#236,0,human
24087_4#378,5,human
24088_4#349,0,human
24087_3#300,6,human
24087_2#234,4,human
23728_5#229,3,human
24087_7#352,1,human
24087_5#376,1,human
24087_4#259,0,human
24088_4#363,5,human
24088_4#199,1,human
24087_6#356,1,human
24088_4#265,0,human
24087_1#300,4,human
24087_4#322,6,human
23728_3#299,3,human
24088_4#227,2,human
24088_4#371,3,human
24087_2#380,0,human
24087_4#327,2,human
24088_4#345,3,human
24088_4#367,3,human
23728_4#282,3,human
23728_6#355,2,human
24087_1#260,2,human
24087_2#202,4,human
23728_5#305,3,human
24088_4#280,5,human
24087_1#235,0,human
24088_4#320,4,human
24087_2#377,0,human
24088_4#313,4,human
24087_4#303,9,human
23728_3#252,3,human
24087_7#374,1,human
23728_4#305,6,human
24088_4#366,5,human
24087_1#330,4,human
24088_4#279,4,human
24088_4#224,4,human
24088_4#232,0,human
24087_4#356,6,human
24088_4#359,0,human
24088_4#211,0,human
24087_2#257,0,human
23728_5#234,6,human
24088_4#360,0,human
24088_4#343,2,human
24087_2#379,6,human
24087_1#279,0,human
24088_7#330,2,human
23728_7#205,4,human
24087_7#356,1,human
24087_2#375,0,human
24087_2#250,7,human
24087_1#254,5,human
24087_1#230,0,human
24087_1#278,0,human
24087_1#250,2,human
23728_3#276,3,human
24087_4#273,2,human
24087_2#204,2,human
24088_4#258,5,human
24087_1#350,6,human
24087_2#274,4,human
24087_7#349,1,human
24087_4#354,0,human
23728_4#297,2,human
24087_8#352,1,human
24087_3#232,0,human
23728_3#230,3,human
24088_4#201,3,human
23728_7#281,3,human
23728_3#229,3,human
24088_4#358,0,human
24087_7#380,1,human
24087_1#308,4,human
24087_3#372,2,human
24087_7#377,1,human
24088_4#213,3,human
24088_7#254,2,human
23728_5#230,2,human
24088_7#303,2,human
23728_3#257,3,human
24087_3#377,6,human
24087_3#249,4,human
24087_2#208,0,human
23728_5#249,9,human
24087_2#308,0,human
24087_4#324,4,human
24088_8#380,1,human
23728_5#202,3,human
24088_4#192,2,human
24087_7#372,1,human
24087_3#275,4,human
23728_3#301,3,human
24087_7#348,1,human
24087_3#252,7,human
24087_1#207,7,human
24087_3#305,2,human
24087_5#234,0,human
24087_6#375,1,human
24087_3#254,0,human
24088_4#369,5,human
24087_2#233,0,human
24088_7#349,1,human
23728_4#236,3,human
24087_4#350,6,human
24087_2#255,4,human
24088_4#252,1,human
24087_2#210,5,human
24087_1#255,4,human
23728_5#284,9,human
24088_4#272,3,human
24087_6#298,1,human
24087_5#380,1,human
24087_1#377,5,human
24087_3#231,0,human
24088_4#233,5,human
24087_3#230,0,human
24087_3#347,0,human
24087_2#350,2,human
23728_7#329,9,human
23728_7#206,4,human
24088_4#328,0,human
24087_1#373,1,human
24087_1#376,5,human
24087_2#259,5,human
24087_1#375,6,human
24087_4#284,0,human
23728_5#228,2,human
24087_7#277,5,human
24088_7#380,1,human
24087_3#332,0,human
23728_5#259,3,human
24087_3#226,6,human
24087_3#212,4,human
23728_4#307,3,human
24088_8#328,6,human
24087_8#379,1,human
23728_5#328,3,human
24087_3#345,5,human
24088_4#380,4,human
24087_2#303,4,human
23728_5#302,2,human
24087_4#227,0,human
24087_8#308,3,human
24087_2#349,2,human
24087_3#370,1,human
23728_3#211,2,human
24087_4#326,2,human
24087_2#354,0,human
23728_5#212,2,human
24087_3#326,0,human
24088_7#369,1,human
24087_2#306,0,human
24087_3#227,4,human
24087_7#347,1,human
24087_5#373,1,human
24087_1#299,0,human
24087_7#376,1,human
24087_1#302,4,human
24088_4#260,4,human
24087_2#332,2,human
23728_3#251,3,human
24088_7#348,1,human
24087_5#375,1,human
23728_5#307,3,human
24087_3#329,2,human
24087_1#225,2,human
24087_3#280,7,human
24088_4#222,5,human
23728_7#227,2,human
24088_4#354,1,human
24087_1#372,9,human
24088_4#195,0,human
23728_6#232,5,human
24087_2#348,1,human
24088_4#318,6,human
23728_7#328,2,human
23728_6#236,3,human
24088_4#316,3,human
24087_2#227,0,human
24087_1#273,0,human
23728_4#250,3,human
24088_4#277,4,human
24087_1#305,2,human
24087_1#277,5,human
24087_2#281,9,human
23728_3#232,3,human
24087_7#378,1,human
24088_4#361,0,human
23728_4#258,2,human
24088_4#311,3,human
23728_4#303,3,human
24087_5#374,1,human
24088_4#244,6,human
24087_2#256,0,human
24087_6#371,1,human
24088_4#273,3,human
24087_1#211,4,human
24087_7#250,5,human
24088_4#356,3,human
24087_1#234,2,human
24088_4#270,2,human
24087_2#211,5,human
23728_4#256,3,human
24087_2#273,4,human
24087_3#349,6,human
24088_4#237,4,human
24087_3#331,0,human
24088_4#206,3,human
24088_4#295,0,human
24087_3#356,6,human
23728_5#253,4,human
24087_4#376,5,human
24087_2#260,0,human
24088_8#373,1,human
24087_4#282,0,human
24087_8#251,5,human
24087_8#380,1,human
24087_2#376,6,human
24088_4#346,2,human
23728_5#226,0,human
24087_7#379,1,human
24087_5#370,1,human
24088_4#274,2,human
24087_3#202,6,human
24088_4#285,5,human
24087_3#284,7,human
24087_1#208,7,human
24087_2#284,7,human
24087_1#327,7,human
23728_4#233,3,human
23728_4#230,3,human
24087_3#351,2,human
23728_3#274,3,human
24087_7#355,1,human
23728_3#255,2,human
24087_1#347,2,human
